Model,Split,F1,Accuracy,Precision,Recall,AUC_ROC,AUC_PR,MCC,Brier,Threshold,PosRate,PredPosRate,ECE
Ablation_w060_040,val,0.9843691477939525,0.9791333333333333,0.9831662427053718,0.985575,0.997693409375,0.9988274203102888,0.9529988669495449,0.01671784785590838,0.6385858585858586,0.6666666666666666,0.6683,0.32218480102844405
Ablation_w060_040,test,0.9847921088775128,0.9797,0.9836867049139436,0.9859,0.99779508234375,0.9988660309149758,0.9542790049343938,0.016326491194564294,0.6385858585858586,0.6666666666666666,0.6681666666666667,0.32282863776160947
Ablation_w080_020,val,0.9844113846211473,0.9791916666666667,0.9833002831094648,0.985525,0.99770540703125,0.9988325662771161,0.9531337276390448,0.01670249371391625,0.6534343434343434,0.6666666666666666,0.668175,0.32183524033744926
Ablation_w080_020,test,0.9847852010014172,0.9796916666666666,0.983722699661981,0.98585,0.9978058028124999,0.9988708003116085,0.9542618213721543,0.01631232422072963,0.6534343434343434,0.6666666666666666,0.6681083333333333,0.3224618584667339
Ablation_w050_050,val,0.9844119685118018,0.9791916666666667,0.9832641201192214,0.9855625,0.9976962893750001,0.9988292112881609,0.9531323390988441,0.016732426177827286,0.6534343434343434,0.6666666666666666,0.668225,0.32185190810303865
Ablation_w050_050,test,0.9847414029917838,0.9796333333333334,0.9836850770842688,0.9858,0.997800121875,0.9988692136142501,0.9541306575870855,0.016351432126203075,0.6534343434343434,0.6666666666666666,0.6681,0.32251145017204375
Ablation_w070_030,val,0.9844859649779708,0.9792833333333333,0.9830014207023753,0.985975,0.9977294720312498,0.9988471970819475,0.9533267355818308,0.01663759113924582,0.6088888888888889,0.6666666666666666,0.6686833333333333,0.3220832024911769
Ablation_w070_030,test,0.9847286797516148,0.9796083333333333,0.9832865956253505,0.986175,0.997827079375,0.9988843568012699,0.9540605516647764,0.016256614222825583,0.6088888888888889,0.6666666666666666,0.668625,0.3230683782519989
Ablation_no_ortho,val,0.9843961711613269,0.979175,0.9834566391775729,0.9853375,0.99768869140625,0.9988243736670946,0.9531028302312351,0.016731035523894367,0.6534343434343434,0.6666666666666666,0.6679416666666667,0.3220496838060625
Ablation_no_ortho,test,0.9847385445417193,0.9796333333333334,0.9838661376057498,0.9856125,0.9977883821875,0.9988622933644848,0.9541376820992606,0.01631981225885173,0.6534343434343434,0.6666666666666666,0.66785,0.3227769878038881
Ablation_no_simplex,val,0.9843804624681616,0.97915,0.9832510226479098,0.9855125,0.9977131526562498,0.9988352887862108,0.9530391733707425,0.016612307611900797,0.6237373737373737,0.6666666666666666,0.6682,0.3220004786138208
Ablation_no_simplex,test,0.9848097946543963,0.979725,0.983771782110292,0.98585,0.99781884484375,0.9988788825066155,0.9543378156377528,0.01623362765250846,0.6237373737373737,0.6666666666666666,0.668075,0.32267068606601873
Ablation_no_aux,val,0.9844582870410825,0.97925,0.9831450868925624,0.985775,0.9977012100000001,0.9988304959228492,0.9532576662357405,0.016633437165139008,0.6286868686868686,0.6666666666666666,0.66845,0.32205011862544175
Ablation_no_aux,test,0.9847878602505602,0.9796916666666666,0.9835538210246755,0.986025,0.9977947654687499,0.9988639976879095,0.9542555689801461,0.01626560819270326,0.6286868686868686,0.6666666666666666,0.6683416666666666,0.3226737070147825
