idx,model_name,jaccard,bigram_overlap,trigram_overlap,norm_edit_dist,length_ratio,length_change,novel_word_ratio,orig_len,para_len
0,Claude Haiku 3.5,0.46153846153846156,0.3137254901960784,0.18181818181818182,0.9428571428571428,0.9714285714285714,0.029411764705882353,0.3142857142857143,34,35
1,Claude Haiku 3.5,0.2571428571428571,0.08791208791208792,0.031578947368421054,0.6851851851851852,0.8888888888888888,0.125,0.5555555555555556,48,54
2,Claude Haiku 3.5,0.34,0.18032786885245902,0.1076923076923077,0.5365853658536586,0.8536585365853658,0.17142857142857143,0.4634146341463415,35,41
3,Claude Haiku 3.5,0.3770491803278688,0.14942528735632185,0.053763440860215055,0.46153846153846156,0.9615384615384616,-0.038461538461538464,0.38,52,50
4,Claude Haiku 3.5,0.09523809523809523,0.0,0.0,0.896551724137931,0.9310344827586207,-0.06896551724137931,0.7407407407407407,29,27
5,Claude Haiku 3.5,0.2222222222222222,0.08974358974358974,0.05,0.7954545454545454,1.0,0.0,0.6136363636363636,44,44
6,Claude Haiku 3.5,0.2765957446808511,0.06557377049180328,0.016129032258064516,0.7714285714285715,0.9142857142857143,-0.08571428571428572,0.53125,35,32
7,Claude Haiku 3.5,0.09375,0.0125,0.0,0.9090909090909091,0.9090909090909091,-0.09090909090909091,0.75,44,40
8,Claude Haiku 3.5,0.12903225806451613,0.039473684210526314,0.013157894736842105,0.7857142857142857,0.9285714285714286,0.07692307692307693,0.6904761904761905,39,42
9,Claude Haiku 3.5,0.2222222222222222,0.061224489795918366,0.00980392156862745,0.75,0.9107142857142857,0.09803921568627451,0.625,51,56
10,Claude Sonnet 4.5,0.696969696969697,0.4772727272727273,0.3404255319148936,0.5,0.9705882352941176,-0.029411764705882353,0.15151515151515152,34,33
11,Claude Sonnet 4.5,0.49122807017543857,0.21794871794871795,0.08139534883720931,0.3877551020408163,0.9795918367346939,0.020833333333333332,0.30612244897959184,48,49
12,Claude Sonnet 4.5,0.575,0.36,0.23636363636363636,0.2972972972972973,0.9459459459459459,0.05714285714285714,0.24324324324324326,35,37
13,Claude Sonnet 4.5,0.45,0.2345679012345679,0.12643678160919541,0.7884615384615384,0.9615384615384616,-0.038461538461538464,0.36,52,50
14,Claude Sonnet 4.5,0.4411764705882353,0.20408163265306123,0.11764705882352941,0.46875,0.90625,0.10344827586206896,0.34375,29,32
15,Claude Sonnet 4.5,0.4528301886792453,0.25,0.1506849315068493,0.4318181818181818,1.0,0.0,0.36363636363636365,44,44
16,Claude Sonnet 4.5,0.35555555555555557,0.1,0.04918032786885246,0.7714285714285715,0.9428571428571428,-0.05714285714285714,0.45454545454545453,35,33
